title,funder,project_reference,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_url
DTP 2016-2017 University of York,EPSRC,EP/N509802/1,2016-10-01,2021-09-30,4067670,University of York,Physics,YO10 5DD,Yorkshire and The Humber,Brian,,Fulton,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509802%2F1
DTP 2016-2017 King's College London,EPSRC,EP/N509498/1,2016-10-01,2021-09-30,1994760,King's College London,King's College London Central Offices,SE1 3QD,London,Jennie,,Eldridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509498%2F1
From Human Data to Personal Experience,EPSRC,EP/M02315X/1,2015-08-01,2020-07-31,4062950,University of Nottingham,Horizon Digital Economy Research,NG7 2RD,East Midlands,Derek,,McAuley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM02315X%2F1
"Future Communications: People, Power and Performanace",EPSRC,EP/I028153/1,2011-04-01,2019-09-30,2207650,University of Bristol,Electrical and Electronic Engineering,BS8 1TH,South West,David,,Bull,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FI028153%2F1
Analysis: from theory to applications,EPSRC,EP/H023348/1,2010-10-01,2017-09-30,3965030,University of Cambridge,Pure Maths and Mathematical Statistics,CB2 1EW,East of England,James,,Norris,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FH023348%2F1
A PhD partnership between the Durham Centre for Soft Matter and a South African Universities Soft Matter Community,ESRC,ES/N013832/1,2015-11-08,2018-11-07,120084,Durham University,Chemistry,DH1 3HP,North East,Lian,Richard,Hutchings,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FN013832%2F1
SE DTC Advanced Training 2014,ESRC,ES/M00595X/1,2015-01-01,2017-12-31,30382,University of Surrey,Psychology,GU2 7XH,South East,Chris,,Fife-Schaw,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FM00595X%2F1
Securing the Future: Photonic Systems Development,EPSRC,EP/G037256/1,2009-10-01,2018-03-31,7190020,University College London,Electronic and Electrical Engineering,WC1E 6BT,London,Alwyn,,Seeds,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037256%2F1
Training &amp; Skills Hub in Quantum Systems Engineering: The Quantum Enterprise Hub,EPSRC,EP/P510269/1,2016-04-01,2021-03-31,4411280,University of Bristol,Physics,BS8 1TH,South West,Mark,Gerard,Thompson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510269%2F1
Scottish DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P50063X/1,2016-01-01,2016-09-30,500000,University of Edinburgh,Sch of Social and Political Science,EH8 9YL,Scotland,Graham,Paul,Crow,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP50063X%2F1
Oxford DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P500641/1,2016-10-01,2017-09-30,500000,University of Oxford,Education,OX1 2JD,South East,David,,Mills,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP500641%2F1
Controlled Quantum Dynamics - The CQD-DTC,EPSRC,EP/G037043/1,2009-10-01,2018-03-31,6719950,Imperial College London,Dept of Physics,SW7 2AZ,London,Myungshik,,Kim,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037043%2F1
Developing Research Capacity for Inclusive Urban Governance: a Sheffield-Witwatersrand PhD training partnership,ESRC,ES/N013816/1,2015-11-02,2018-11-01,104440,University of Sheffield,Urban Studies and Planning,S10 2TN,Yorkshire and The Humber,Glyn,Owain,Williams,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FN013816%2F1
Ubiquitous Computing for a Digital Economy,EPSRC,EP/G037574/1,2009-10-01,2018-03-31,5703940,University of Nottingham,School of Computer Science,NG7 2RD,East Midlands,Steve,,Benford,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037574%2F1
"The Social Analytics Strategic Network (SASNet), a joint proposal by UBDC (Glasgow) and BLG DRC (Essex) focussing on capacity-building in Big Data.",ESRC,ES/N009401/1,2016-01-14,2017-09-30,99456,University of Glasgow,School of Social & Political Sciences,G12 8QQ,Scotland,Piyushimita (Vonu),,Thakuriah,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FN009401%2F1
DTP - University of Exeter,EPSRC,EP/M508044/1,2015-10-01,2019-09-30,980980,University of Exeter,Research Grant Administration,EX4 4QX,South West,Paula,Tracey,Frost,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508044%2F1
STFC Glasgow 2015 DTP,STFC,ST/N504075/1,2015-10-01,2020-09-30,1462130,University of Glasgow,School of Physics and Astronomy,G12 8QQ,Scotland,Martin,,Hendry,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504075%2F1
STFC Keele 2015 DTP,STFC,ST/N504348/1,2015-10-01,2020-09-30,216765,Keele University,Faculty of Natural Sciences,ST5 5BG,West Midlands,Coel,,Hellier,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504348%2F1
DTP - University of Surrey,EPSRC,EP/M508160/1,2015-10-01,2019-09-30,1177740,University of Surrey,Finance and Financial Management,GU2 7XH,South East,Richard,,Bowden,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508160%2F1
STFC Newcastle 2015 DTP,STFC,ST/N504191/1,2015-10-01,2020-09-30,144510,Newcastle University,Mathematics and Statistics,NE1 7RU,North East,Robin,,Henderson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504191%2F1
STFC Strathclyde 2015 DTP,STFC,ST/N504439/1,2015-10-01,2023-09-30,144510,University of Strathclyde,Physics,G1 1XQ,Scotland,Erling,,Riis,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504439%2F1
STFC Armagh 2015 DTP,STFC,ST/N503927/1,2015-10-19,2020-10-18,144510,Armagh Observatory,Astronomy,BT61 9DG,Northern Ireland,Mark Edward,,Bailey,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503927%2F1
STFC Lancaster 2015 DTP,STFC,ST/N504385/1,2015-10-01,2020-09-30,347880,Lancaster University,Physics,LA1 4YW,North West,Roger,William,Jones,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504385%2F1
DTP - University of Sussex,EPSRC,EP/M508172/1,2015-10-01,2019-09-30,415241,University of Sussex,Research Finance,BN1 9RH,South East,Linda,,Allfrey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508172%2F1
STFC UCLan 2015 DTP,STFC,ST/N504014/1,2015-10-01,2020-09-30,361275,University of Central Lancashire,Jeremiah Horrocks Institute,PR1 2HE,North West,Derek,,Ward-Thompson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504014%2F1
STFC Open 2015 DTP,STFC,ST/N50421X/1,2015-10-01,2020-09-30,794805,Open University,Physical Sciences,MK7 6AA,South East,Monica,Mary,Grady,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50421X%2F1
DTP - University of Leeds,EPSRC,EP/M50807X/1,2015-10-01,2019-09-30,2523770,University of Leeds,Research Student Administration,LS2 9JT,Yorkshire and The Humber,Caroline,Fiona,Neave,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50807X%2F1
DTP - University of Reading,EPSRC,EP/M508123/1,2015-10-01,2019-09-30,661457,University of Reading,Finance Office,RG6 6AH,South East,Jonathan,David,Lloyd,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508123%2F1
DTP - University of Birmingham,EPSRC,EP/M508202/1,2015-10-01,2019-09-30,1991680,University of Birmingham,Personnel Services,B15 2TT,West Midlands,Peter,,Mandeville,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508202%2F1
DTP - University of Bristol,EPSRC,EP/M507994/1,2015-10-01,2019-09-30,3833650,University of Bristol,Senior Faculty Accountant,BS8 1TH,South West,Jane,,FitzWalter,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507994%2F1
DTP - University of Southampton,EPSRC,EP/M508147/1,2015-10-01,2019-09-30,5427140,University of Southampton,Research and Innovation Services,SO17 1BJ,South East,Philip,,Jewell,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508147%2F1
DTP - University of Liverpool,EPSRC,EP/M508093/1,2015-10-01,2019-09-30,1776640,University of Liverpool,Graduate School,L69 3BX,North West,Debbie,,Henderson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508093%2F1
DTP - University College London,EPSRC,EP/M507970/1,2015-10-01,2019-09-30,7149810,University College London,Research Services,WC1E 6BT,London,Ian David Lockhart,,Bogle,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507970%2F1
DTP - University of York,EPSRC,EP/M508196/1,2015-10-01,2019-09-30,1387550,University of York,Physics,YO10 5DD,Yorkshire and The Humber,Brian,,Fulton,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508196%2F1
STFC Kent 2015 DTP,STFC,ST/N50435X/1,2015-10-01,2020-09-30,72255,University of Kent,Sch of Physical Sciences,CT2 7NZ,South East,Mark,,Green,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50435X%2F1
DTP - Lancaster University,EPSRC,EP/M507891/1,2015-10-01,2019-09-30,982367,Lancaster University,Computing & Communications,LA1 4YW,North West,Chris,,Edwards,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507891%2F1
DTP - King's College London,EPSRC,EP/M50788X/1,2015-10-01,2019-09-30,921850,King's College London,King's College London Central Offices,SE1 3QD,London,Jennie,,Eldridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50788X%2F1
STFC Leicester 2015 DTP,STFC,ST/N504117/1,2015-10-01,2020-09-30,1372840,University of Leicester,Physics and Astronomy,LE1 7RH,East Midlands,Paul,Thomas,O'Brien,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504117%2F1
DTP - Loughborough University,EPSRC,EP/M507908/1,2015-10-01,2019-09-30,916227,Loughborough University,Research Student Office,LE11 3TU,East Midlands,Brigette,,Vale,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507908%2F1
DTP - Cardiff University,EPSRC,EP/M507842/1,2015-10-01,2019-09-30,1151710,Cardiff University,Registry,CF10 3TE,Wales,Rhian,Wyn,Phillips,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507842%2F1
DTP - University of Edinburgh,EPSRC,EP/M508032/1,2015-10-01,2019-09-30,3235920,University of Edinburgh,College of Science and Engineering,EH8 9YL,Scotland,Julia,Miller,Ferguson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508032%2F1
DTP - Imperial College London,EPSRC,EP/M507878/1,2015-10-01,2019-09-30,8355170,Imperial College London,Research Office,SW7 2AZ,London,Malcolm,,Aldridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507878%2F1
DTP - University of Nottingham,EPSRC,EP/M50810X/1,2015-10-01,2019-09-30,2176740,University of Nottingham,Research and Graduate Services,NG7 2RD,East Midlands,Richard,,Masterman,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50810X%2F1
STFC Exeter 2015 DTP,STFC,ST/N504063/1,2015-10-01,2020-09-30,361275,University of Exeter,Physics,EX4 4QX,South West,William,Leslie,Barnes,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504063%2F1
STFC QMUL 2015 DTP,STFC,ST/N504257/1,2015-10-01,2020-09-30,1060730,"Queen Mary, University of London",Physics,E1 4NS,London,Stephen,,Lloyd,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504257%2F1
STFC Bristol 2015 DTP,STFC,ST/N503952/1,2015-10-01,2020-09-30,472772,University of Bristol,Physics,BS8 1TH,South West,James,,Annett,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503952%2F1
DTP - University of Glasgow,EPSRC,EP/M508056/1,2015-10-01,2019-09-30,2854310,University of Glasgow,Research and Enterprise,G12 8QQ,Scotland,Mary Beth,,Kneafsey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508056%2F1
STFC Nottingham 2015 DTP,STFC,ST/N504208/1,2015-10-01,2020-09-30,426046,University of Nottingham,Sch of Physics & Astronomy,NG7 2RD,East Midlands,Michael,Ralph,Merrifield,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504208%2F1
STFC Swansea 2015 DTP,STFC,ST/N504464/1,2015-10-01,2020-09-30,279042,Swansea University,College of Science,SA2 8PP,Wales,Graham,,Shore,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504464%2F1
STFC Cardiff 2015 DTP,STFC,ST/N504002/1,2015-10-01,2020-09-30,510668,Cardiff University,School of Physics and Astronomy,CF10 3TE,Wales,Matt,,Griffin,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504002%2F1
DTP - University of Kent,EPSRC,EP/M508068/1,2015-10-01,2019-09-30,336094,University of Kent,Admissions and Partnership Services,CT2 7NZ,South East,Mary,Patrica,Hughes,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508068%2F1
DTP - University of Dundee,EPSRC,EP/M508019/1,2015-10-01,2019-09-30,328366,University of Dundee,Executive,DD1 4HN,Scotland,Martin,,Glover,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508019%2F1
STFC Sussex 2015 DTP,STFC,ST/N504452/1,2015-10-01,2020-09-30,579847,University of Sussex,Sch of Mathematical & Physical Sciences,BN1 9RH,South East,Sebastian,,Jaeger,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504452%2F1
STFC Surrey 2015 DTP,STFC,ST/N504440/1,2015-10-01,2020-09-30,319468,University of Surrey,Physics,GU2 7XH,South East,Paul,Jonathan,Sellin,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504440%2F1
DTP - University of Cambridge,EPSRC,EP/M508007/1,2015-10-01,2019-09-30,6172770,University of Cambridge,Board of Graduate Studies,CB2 1EW,East of England,Noel Antony,,Rutter,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508007%2F1
STFC Dundee 2015 DTP,STFC,ST/N504026/1,2016-09-12,2021-09-11,72255,University of Dundee,Mathematics,DD1 4HN,Scotland,Fordyce,Alexander,Davidson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504026%2F1
DTP - University of Strathclyde,EPSRC,EP/M508159/1,2015-10-01,2019-09-30,1609810,University of Strathclyde,Research and Knowledge Exchange Services,G1 1XQ,Scotland,Craig,,Young,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508159%2F1
STFC Birmingham 2015 DTP,STFC,ST/N503939/1,2015-10-01,2020-09-30,890851,University of Birmingham,School of Physics and Astronomy,B15 2TT,West Midlands,Andrew John,,Schofield,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503939%2F1
STFC LJMU 2015 DTP,STFC,ST/N504154/1,2015-10-01,2020-09-30,578040,Liverpool John Moores University,Astrophysics Research Institute,L3 5UX,North West,MF,,Bode,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504154%2F1
DTP - University of Leicester,EPSRC,EP/M508081/1,2015-10-01,2019-09-30,360227,University of Leicester,Finance Office,LE1 7RH,East Midlands,Ruth,Susan,Daly,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508081%2F1
STFC York 2015 DTP,STFC,ST/N50452X/1,2015-10-01,2020-09-30,236422,University of York,Physics,YO10 5DD,Yorkshire and The Humber,Sarah,Madeleine,Thompson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50452X%2F1
DTP - Swansea University,EPSRC,EP/M507957/1,2015-09-18,2019-09-17,438854,Swansea University,Research and Innovation,SA2 8PP,Wales,Julie,Elizabeth,Pugsley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507957%2F1
STFC Portsmouth 2015 DTP,STFC,ST/N504245/1,2015-10-01,2020-09-30,433530,University of Portsmouth,Institute of Cosmology and Gravitation,PO1 2UP,South East,David,Graham,Wands,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504245%2F1
STFC Edinburgh 2015 DTP,STFC,ST/N504051/1,2015-10-01,2020-09-30,1406180,University of Edinburgh,Sch of Physics and Astronomy,EH8 9YL,Scotland,Arthur,Stewart,Trew,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504051%2F1
STFC Aberystwyth 2015 DTP,STFC,ST/N503915/1,2015-10-01,2020-09-30,72255,Aberystwyth University,Inst of Mathematical and Physical Sci,SY23 2AX,Wales,Andy,,Evans,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503915%2F1
DTP - Newcastle University,EPSRC,EP/M50791X/1,2015-10-01,2019-09-30,1766210,Newcastle University,Research and Enterprise Services,NE1 7RU,North East,Nicky,M,Houghton,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50791X%2F1
STFC Hertfordshire 2015 DTP,STFC,ST/N504105/1,2015-10-01,2020-09-30,361275,University of Hertfordshire,"School of Physics, Astronomy and Maths",AL10 9AB,East of England,Martin,John,Hardcastle,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504105%2F1
STFC NHM 2015 DTP,STFC,ST/N50418X/1,2016-02-01,2021-01-31,158510,The Natural History Museum,Earth Sciences,SW7 5BD,London,Richard Jeremy,,Herrington,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50418X%2F1
STFC Brunel 2015 DTP,STFC,ST/N503964/1,2015-10-01,2020-09-30,91132,Brunel University,Sch of Engineering and Design,UB8 3PH,London,Peter,Robert,Hobson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503964%2F1
DTP - University of Warwick,EPSRC,EP/M508184/1,2015-10-01,2019-09-30,2821030,University of Warwick,Research Support Services,CV4 7AL,West Midlands,Dan,,Pearson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508184%2F1
STFC Warwick 2015 DTP,STFC,ST/N504506/1,2015-10-01,2020-09-30,830791,University of Warwick,Physics,CV4 7AL,West Midlands,David,R,Leadley,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504506%2F1
DTP - Durham University,EPSRC,EP/M507854/1,2015-10-01,2019-09-30,1254950,Durham University,Student Financial Support,DH1 3HP,North East,Andrea,,Bailey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507854%2F1
DTP - University of Bath,EPSRC,EP/M507982/1,2015-10-01,2019-09-30,1954800,University of Bath,Research Support,BA2 7AY,South West,Karen,,Toogood,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507982%2F1
DTP - University of Oxford,EPSRC,EP/M508111/1,2015-10-01,2019-09-30,4945300,University of Oxford,Oxford Physics,OX1 2JD,South East,Martin,,Williams,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508111%2F1
DTP - Heriot-Watt University,EPSRC,EP/M507866/1,2015-10-01,2019-09-30,1155870,Heriot-Watt University,Technology and Research Services,EH14 4AS,Scotland,Alan,,Miller,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507866%2F1
DTP - University of Sheffield,EPSRC,EP/M508135/1,2015-10-01,2019-09-30,3558960,University of Sheffield,Research Finance,S10 2TN,Yorkshire and The Humber,Kirsty,Louise,Lindley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508135%2F1
STFC RHUL 2015 DTP,STFC,ST/N504269/1,2015-10-01,2020-09-30,422857,"Royal Holloway, University of London",Physics,TW20 0EX,South East,Pedro,,Teixeira-Dias,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504269%2F1
South West DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P500628/1,2016-10-01,2017-09-30,600000,University of Bristol,Research and Enterprise Development,BS8 1TH,South West,Sally,,Barnes,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP500628%2F1
North West DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P500616/1,2016-10-01,2017-09-30,600000,University of Liverpool,Graduate School,L69 3BX,North West,Gabriel,Gray,Mythen,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP500616%2F1
UCL/Bloomsbury DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P500653/1,2016-10-01,2017-09-30,700000,University College London,Economics,WC1E 6BT,London,Andrew,,Tolmie,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP500653%2F1
Multi-Scale Modelling of Hybrid Perovskites for Solar Cells,EPSRC,EP/M009580/1,2015-02-01,2018-01-31,276565,University of Bath,Chemistry,BA2 7AY,South West,Aron,,Walsh,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM009580%2F1
Multi-Scale Modelling of Hybrid Perovskites for Solar Cells,EPSRC,EP/M009602/1,2015-03-31,2018-03-30,340645,King's College London,Physics,SE1 3QD,London,Mark,,van Schilfgaarde,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM009602%2F1
STFC Cambridge DAMTP 2015 DTP,STFC,ST/N503976/1,2015-10-01,2020-09-30,854588,University of Cambridge,Applied Maths and Theoretical Physics,CB2 1EW,East of England,Peter Howard,,Haynes,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503976%2F1
STFC Leeds Physics 2015 DTP,STFC,ST/N504403/1,2015-10-01,2020-09-30,216765,University of Leeds,Physics and Astronomy,LS2 9JT,Yorkshire and The Humber,Thomas,,Hartquist,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504403%2F1
STFC Southampton Maths 2015 DTP,STFC,ST/N504294/1,2015-10-01,2020-09-30,144510,University of Southampton,School of Mathematics,SO17 1BJ,South East,James,Alastair,Vickers,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504294%2F1
DTP - Queen's University of Belfast,EPSRC,EP/M507933/1,2015-10-01,2019-09-30,1805550,Queen's University of Belfast,Research and Regional Services,BT7 1NN,Northern Ireland,Mark,,Kelly,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507933%2F1
STFC Liverpool Physics 2015 DTP,STFC,ST/N504142/1,2015-10-01,2020-09-30,989653,University of Liverpool,Physics,L69 3BX,North West,Timothy,,Greenshaw,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504142%2F1
STFC Cambridge IoA 2015 DTP,STFC,ST/N503988/1,2015-10-01,2020-09-30,1228340,University of Cambridge,Institute of Astronomy,CB2 1EW,East of England,Andrew,,Fabian,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503988%2F1
DTP - University of St Andrews,EPSRC,EP/M508214/1,2015-10-01,2019-09-30,1958110,University of St Andrews,Psychology,KY16 9AJ,Scotland,Malcolm,,MacLeod,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508214%2F1
STFC Kings Maths 2015 DTP,STFC,ST/N504361/1,2015-10-01,2020-09-30,230282,King's College London,Mathematics,SE1 3QD,London,Peter,Christopher,West,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504361%2F1
STFC Oxford Earth 2015 DTP,STFC,ST/N504221/1,2015-10-01,2020-09-30,144510,University of Oxford,Earth Sciences,OX1 2JD,South East,Gideon,,Henderson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504221%2F1
STFC Cambridge Physics 2015 DTP,STFC,ST/N50399X/1,2015-10-01,2020-09-30,756597,University of Cambridge,Physics,CB2 1EW,East of England,Michael Andrew,,Parker,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50399X%2F1
DTP 2016-2017 Lancaster University,EPSRC,EP/N509504/1,2016-10-01,2021-09-30,1754200,Lancaster University,Vice-Chancellor's Office,LA1 4YW,North West,Stephen,Paul,Decent,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509504%2F1
STFC Imperial Physics 2015 DTP,STFC,ST/N504336/1,2015-10-01,2020-09-30,2276520,Imperial College London,Dept of Physics,SW7 2AZ,London,Jordan,,Nash,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504336%2F1
STFC Imperial Earth 2015 DTP,STFC,ST/N504312/1,2015-10-01,2020-09-30,317020,Imperial College London,Earth Science and Engineering,SW7 2AZ,London,Jan,,Cilliers,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504312%2F1
STFC Durham Physics 2015 DTP,STFC,ST/N50404X/1,2015-10-01,2020-09-30,1791410,Durham University,Physics,DH1 3HP,North East,Simon,Leo,Morris,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50404X%2F1
STFC Sheffield Maths 2015 DTP,STFC,ST/N504270/1,2015-10-01,2020-09-30,144510,University of Sheffield,Mathematics and Statistics,S10 2TN,Yorkshire and The Humber,J,D,Biggins,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504270%2F1
STFC Oxford Physics 2015 DTP,STFC,ST/N504233/1,2015-10-01,2020-09-30,2580730,University of Oxford,Oxford Physics,OX1 2JD,South East,John,,Wheater,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504233%2F1
STFC UCL Physics 2015 DTP,STFC,ST/N50449X/1,2015-10-01,2020-09-30,1172190,University College London,Physics and Astronomy,WC1E 6BT,London,Jonathan,Mark,Butterworth,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50449X%2F1
DTP - University of East Anglia,EPSRC,EP/M508020/1,2015-10-01,2019-09-30,466643,University of East Anglia,Graduate Office,NR4 7TJ,East of England,Melanie,Sarah,Steele,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508020%2F1
STFC Imperial Eng 2015 DTP,STFC,ST/N504324/1,2016-10-01,2021-09-30,79255,Imperial College London,Electrical and Electronic Engineering,SW7 2AZ,London,Peter Y K,,Cheung,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504324%2F1
STFC Liverpool Cockcroft 2015 DTP,STFC,ST/N504129/1,2015-10-01,2020-09-30,654564,University of Liverpool,Physics,L69 3BX,North West,Peter,,Ratoff,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504129%2F1
STFC Kings Physics 2015 DTP,STFC,ST/N504373/1,2015-10-01,2020-09-30,232776,King's College London,Physics,SE1 3QD,London,David,,Richards,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504373%2F1
DTP - The University of Manchester,EPSRC,EP/M507969/1,2015-10-01,2019-09-30,3268210,University of Manchester,Engineering and Physical Sciences,M13 9PL,North West,Lee,James,Wilkinson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507969%2F1
DTP 2016-2017 Cranfield University,EPSRC,EP/N509450/1,2016-10-01,2021-09-30,1256420,Cranfield University,Administration,MK43 0AL,East of England,Christine,,Thompson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509450%2F1
STFC Durham Maths 2015 DTP,STFC,ST/N504038/1,2015-10-01,2020-09-30,348802,Durham University,Mathematical Sciences,DH1 3HP,North East,Anne,,Taormina,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504038%2F1
STFC UCL Earth 2015 DTP,STFC,ST/N504476/1,2015-10-01,2020-09-30,158510,University College London,Earth Sciences,WC1E 6BT,London,Lars,,Stixrude,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504476%2F1
STFC Liverpool Maths 2015 DTP,STFC,ST/N504130/1,2015-10-01,2020-09-30,279042,University of Liverpool,Mathematical Sciences,L69 3BX,North West,David,Ian,Jack,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504130%2F1
DTP 2016-2017 Aston University,EPSRC,EP/N509425/1,2016-10-01,2021-09-30,778552,Aston University,Unlisted,B4 7ET,West Midlands,Sally,,Puzey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509425%2F1
STFC Leeds Maths 2015 DTP,STFC,ST/N504397/1,2015-10-01,2020-09-30,216765,University of Leeds,Applied Mathematics,LS2 9JT,Yorkshire and The Humber,Steve,,Tobias,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504397%2F1
